Date,Open,High,Low,Close,Adj Close,Volume
2009-07-21,40.299999,40.980000,39.599998,40.610001,34.074348,196430
2009-07-22,40.799999,41.500000,38.639999,38.990002,32.958542,269610
2009-07-23,39.599998,40.590000,39.139999,39.959999,33.778503,574300
2009-07-24,40.299999,41.895000,40.299999,41.355000,34.957699,312590
2009-07-27,42.189999,42.474998,41.000000,41.884998,35.405720,242760
2009-07-28,41.939999,42.099998,41.700001,42.060001,35.553646,446420
2009-07-29,41.700001,42.150002,40.500000,42.110001,35.595909,257350
2009-07-30,42.095001,44.799999,41.500000,43.650002,36.897686,521100
2009-07-31,44.689999,46.700001,42.810001,43.820000,37.041378,872980
2009-08-03,44.000000,44.500000,42.540001,44.154999,37.324558,341960
2009-08-04,44.500000,46.000000,41.599998,44.200001,37.362606,443840
2009-08-05,44.200001,44.740002,41.665001,42.240002,35.705807,303690
2009-08-06,42.490002,43.299999,41.500000,41.994999,35.498699,1149190
2009-08-07,42.000000,42.799999,40.520000,41.805000,35.338085,313840
2009-08-10,43.400002,43.400002,41.599998,41.639999,35.198608,315310
2009-08-11,41.799999,42.299999,41.500000,41.869999,35.393032,163100
2009-08-12,41.700001,42.400002,40.500000,42.264999,35.726929,176490
2009-08-13,42.400002,43.845001,40.599998,43.610001,36.863869,265330
2009-08-14,43.200001,43.785000,42.599998,43.075001,36.411625,106410
2009-08-17,41.650002,42.884998,41.400002,41.630001,35.190159,225960
2009-08-18,41.099998,44.000000,40.720001,43.270000,36.576466,179240
2009-08-19,42.724998,44.700001,42.000000,42.224998,35.693119,366630
2009-08-20,43.000000,43.580002,41.849998,42.305000,35.760746,82280
2009-08-21,41.139999,43.500000,41.139999,43.224998,36.538422,104740
2009-08-24,43.509998,44.700001,43.209999,43.990002,37.185085,251250
2009-08-25,43.299999,44.419998,42.799999,43.490002,36.762436,297030
2009-08-26,43.599998,45.599998,43.525002,43.990002,37.185085,301420
2009-08-27,43.400002,44.700001,43.099998,43.455002,36.732849,104690
2009-08-28,43.200001,44.000000,43.000000,43.564999,36.825829,283150
2009-08-31,43.000000,44.294998,42.799999,43.715000,36.952633,175330
2009-09-01,44.029999,44.450001,42.500000,42.875000,36.242565,170760
2009-09-02,42.500000,43.285000,42.299999,42.759998,36.145355,92520
2009-09-03,43.070000,43.700001,42.950001,43.215000,36.529968,82740
2009-09-04,44.290001,44.290001,42.799999,42.980000,36.331318,69840
2009-09-07,43.009998,47.099998,43.009998,45.494999,38.457279,897740
2009-09-08,45.810001,46.590000,44.805000,45.494999,38.457279,284310
2009-09-09,45.400002,45.849998,43.700001,44.060001,37.244255,130890
2009-09-10,48.000000,48.000000,43.200001,43.400002,36.686356,314180
2009-09-11,43.799999,45.400002,43.000000,44.209999,37.371056,330330
2009-09-14,43.610001,44.500000,43.215000,43.419998,36.703255,99980
2009-09-15,40.645000,44.645000,40.645000,43.919998,37.125927,200520
2009-09-16,44.500000,44.939999,43.860001,44.299999,37.447136,238770
2009-09-17,44.400002,44.889999,44.000000,44.349998,37.489399,378400
2009-09-18,44.105000,46.400002,44.099998,45.544998,38.499542,391970
2009-09-22,45.509998,46.200001,44.799999,45.490002,38.453049,253880
2009-09-23,45.845001,45.845001,44.009998,44.455002,37.578156,102850
2009-09-24,44.500000,45.500000,44.500000,45.055000,38.085339,383140
2009-09-25,44.799999,45.750000,44.500000,45.130001,38.148735,222550
2009-09-29,45.990002,46.900002,45.485001,46.310001,39.146206,192890
2009-09-30,46.299999,50.145000,45.799999,48.275002,40.807228,948580
2009-10-01,48.564999,51.290001,48.564999,50.470001,42.662678,1081810
2009-10-05,49.500000,52.889999,49.014999,49.994999,42.261158,913300
2009-10-06,50.700001,51.764999,49.724998,50.000000,42.265385,487730
2009-10-07,51.369999,51.580002,50.605000,50.849998,42.983894,213890
2009-10-08,50.900002,51.389999,50.020000,50.514999,42.700714,169310
2009-10-09,51.500000,51.500000,50.099998,50.485001,42.675362,136140
2009-10-12,50.525002,52.299999,50.224998,51.380001,43.431915,316510
2009-10-13,51.750000,51.750000,51.750000,51.750000,43.744675,0
2009-10-14,51.599998,52.200001,51.250000,51.660000,43.668591,237990
2009-10-15,51.970001,54.200001,51.549999,53.145000,44.923870,550220
2009-10-16,53.799999,53.799999,51.505001,52.095001,44.036308,114700
2009-10-20,50.099998,51.200001,49.455002,50.294998,42.514748,902260
2009-10-21,49.849998,54.000000,49.849998,51.395000,43.444592,437580
2009-10-22,50.049999,51.939999,49.595001,50.259998,42.485165,304720
2009-10-23,51.200001,52.380001,50.009998,50.189999,42.425987,490020
2009-10-26,50.970001,50.970001,50.000000,50.040001,42.299206,188380
2009-10-27,50.000000,50.000000,47.115002,48.035000,40.604362,230350
2009-10-28,47.599998,48.770000,47.154999,47.735001,40.350769,128990
2009-10-29,47.000000,47.000000,46.349998,46.634998,39.420921,91410
2009-10-30,47.099998,47.980000,45.514999,46.180000,39.036312,695630
2009-11-03,45.799999,46.500000,44.599998,44.985001,38.026161,191730
2009-11-04,46.000000,46.490002,44.500000,45.264999,38.262859,305210
2009-11-05,45.900002,46.000000,44.799999,45.715000,38.643242,69900
2009-11-06,46.470001,47.500000,46.000000,46.215000,39.065891,65870
2009-11-09,45.799999,48.500000,45.799999,47.750000,40.363445,112170
2009-11-10,48.689999,50.400002,47.799999,48.044998,40.612804,12699320
2009-11-11,49.500000,51.500000,48.709999,50.384998,42.590828,1068460
